School Name,City,Zip Code,2022 Student Enrollments,AP Classes?,Dual Enrollment?,Offers Electives?,Offers Sports?,Sports Rank,Teaching/Educational Method,Mental Health Services?,Math Score,English Score,National Rank,AZ Rank,Student-Teacher Ratio,Suicide Data,Crime-related Data,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,Lunch%-Free,Lunch%-Reduced,Lunch%-Paid,
Great Hearts Academies - Teleos Prep,Phoenix,85034,250,No,No,Yes,No,N/A,Inclusion Based Model,N/A,67%,N/A,6297,107,1:01,N/A,N/A,54.00%,5.60%,0.70%,25.10%,7.10%,6.70%,N/A,N/A,N/A,
Mesa High School,Mesa,85204,3480,Yes,yes,yes,yes,"7,961",outcome based,yes,50%,42%,7961,139,22.3:1,No Suicide,No Crime,29%,4%,2%,62%,1%,2%,58%,10%,10%,
Mesa Transitional Learning Center,Mesa,85210,70,Yes,No,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47%,20%,NA,26%,3%,4%,96%,4%,0%,
Mountain View High School,Mesa,85213,3343,Yes,Yes,Yes,Yes,30,traditional,yes,37%,37%,3795,100,16.4:1,1,low crime rate,66%,3%,4%,24%,2%,1%,27%,6%,67%,
Poston Junior High School,Messa,85213,1017,Yes,No,Yes,No,Unranked,NA,No,24,33,Unranked,Unranked,18,NA,NA,43,5,3,47,1,1,58,35,7,
Red Mountain High School,Messa,85207,3370,Yes,Yes,Yes,Yes,Unranked,NA,Yes,47%,77.67%,129,4,N/A,NA,NA,70,3,2,20,2,3,24,7,69,
Mountain Ridge High School,Glendale,85310,2685,yes,yes,yes,yes,NA,Tradional,yes,51,55,2046,28,25.4:1,NA,NA,69,2,1,13,10,5,4,0,96,
Ombudsman - Charter West,Glendale,85308,90,yes,yes,yes,NA,NA,NA,Na,NA,NA,NA,NA,NA,NA,NA,43,17,3,32,2,3,16,2,82,
Raymond S. Kellis,Glendale,85305,1802,yes,yes,yes,yes,NA,Tradional,yes,48,43,7392,126,21.1:1,NA,NA,24,8,1,57,5,5,20,0,80,
Sandra Day O'Connor High School,Glendale,85310,2534,yes,yes,yes,yes,NA,Tradional,yes,70,69,2622,41,23.1:1,NA,NA,74,2,1,14,5,4,5,0,95,
Sunflower School,Glendale,85306,40,yes,yes,Yes,yes,NA,Tradional,yes,25,25,NA,NA,6.7:1,NA,NA,35,7.5,0,42.5,7.5,7.5,45,7.5,47.5,
Deer Valley Academy,Glendale,85308,"1,568",YES,YES,YES,YES,114,Hybrid,YES,36%,39%,Unranked,250,No Data,No data,No data,33.30%,16.70%,1.20%,50.00%,2.60%,33.30%,No Data,No data,No Data,
Deer Valley High School,Glendale,85308,"1,420",YES,YES,YES,YES,43,Traditional,YES,58%,51%,6336,109,10-Jan,No data,No data,55.20%,5.90%,1.20%,30.50%,2.60%,49.50%,17%,0%,83%,
Desert Heights Preparatory Academy,Glendale,85308,511,YES,YES,YES,YES,26,Hybrid,YES,43%,40%,Unranked,398,No data,No data,No data,56.20%,7.20%,1.40%,29.00%,1.40%,50.1,21%,3%,76%,
Desert Sky Middle School,Glendale,85308,761,NO,YES,NO,YES,No Data,Traditional,YES,42%,42%,Unranked,289,22-Jan,No data,No data,54.30%,4.30%,0.60%,33.50%,1.90%,51.1,39%,12%,49,
E-Institute at Grovers,Glendale,85308,9,YES,YES,YES,YES,No Data,Hybrid,No Data,30%,30%,Unranked,371,12-Jan,No data,No data,22.20%,N/A,N/A,77.80%,N/A,77.80%,N/A,N/A,N/A,
